year,CATV
1952,14000
1953,30000
1954,65000
1955,150000
1956,300000
1957,350000
1958,450000
1959,550000
1960,650000
1961,725000
1962,850000
1963,950000
1964,1085000
1965,1275000
1966,1575000
1967,2100000
1968,2800000
1969,3600000
1970,4500000
1971,5300000
1972,6000000
1973,7300000
1974,8700000
1975,9800000
1976,10800000
1977,11900000
1978,13000000
1979,14100000
1980,15500000
1981,18300000
1982,21000000
1983,25000000
1984,30000000
1985,31300000
1986,37500000
1987,41000000
1988,43800000
1989,47800000
